method1_final_only,method2_final_age,method3_best_only,method4_best_age,method5_earliest,player_name,draft_year,pick,best_ppg,hit24,num_seasons,final_year,final_yards,best_year,best_yards
0.7478991596638656,0.673109243697479,0.7478991596638656,0.673109243697479,0.3586956521739131,Michael Carter,2021,107,9.08235294117647,0,4,2020,267,2020,267
0.5828729281767956,0.4662983425414365,0.5828729281767956,0.4662983425414365,0.4662983425414365,Rhamondre Stevenson,2021,120,14.65294117647059,1,2,2020,211,2020,211
1.383219954648526,1.383219954648526,1.383219954648526,1.383219954648526,1.383219954648526,Kenneth Gainwell,2021,150,8.229411764705883,0,2,2019,610,2019,610
0.4967532467532468,0.3974025974025974,1.0028735632183907,1.0028735632183907,1.0028735632183907,Elijah Mitchell,2021,194,11.8,1,4,2020,153,2018,349
0.30851063829787234,0.2776595744680851,0.30851063829787234,0.2776595744680851,0.2776595744680851,Gary Brightwell,2021,196,1.7647058823529411,0,3,2020,58,2020,58
0.27548209366391185,0.24793388429752067,0.27548209366391185,0.24793388429752067,0.24793388429752067,Larry Rountree,2021,198,0.9176470588235296,0,4,2020,100,2020,100
0.4084507042253521,0.3267605633802817,0.45375722543352603,0.4991329479768787,0.4991329479768787,Chris Evans,2021,202,3.0823529411764707,0,4,2020,87,2017,157
0.795,0.6360000000000001,1.3943661971830985,1.2549295774647886,0.5149253731343284,Demetric Felton,2021,211,2.9705882352941178,0,4,2020,159,2019,594
0.7075098814229249,0.56600790513834,0.7075098814229249,0.56600790513834,0.56600790513834,Khalil Herbert,2021,217,6.929411764705883,0,1,2020,179,2020,179
0.43312101910828027,0.34649681528662424,0.43312101910828027,0.34649681528662424,0.34649681528662424,Jake Funk,2021,233,0.188235294117647,0,5,2020,68,2020,68
0.2225,0.2225,0.2225,0.2225,0.2225,Kenneth Walker III,2022,41,11.729411764705883,1,1,2021,89,2021,89
0.6977886977886978,0.6280098280098281,0.7352941176470589,0.7352941176470589,0.3498795180722892,James Cook,2022,63,19.076470588235296,1,4,2021,284,2020,225
0.14446952595936793,0.14446952595936793,0.14446952595936793,0.14446952595936793,0.14446952595936793,Tyrion Davis-Price,2022,93,0.5823529411764706,0,3,2021,64,2021,64
0.5192307692307693,0.46730769230769237,0.5192307692307693,0.46730769230769237,0.3298097251585624,Dameon Pierce,2022,107,9.788235294117648,0,4,2021,216,2021,216
0.18427518427518427,0.16584766584766586,0.18427518427518427,0.16584766584766586,0.16584766584766586,Zamir White,2022,122,4.347058823529412,0,3,2021,75,2021,75
0.5108108108108108,0.5108108108108108,0.6411960132890365,0.7053156146179402,0.5389380530973451,Isaiah Spiller,2022,123,1.1176470588235294,0,3,2021,189,2020,193
0.33164556962025316,0.29848101265822785,0.33164556962025316,0.29848101265822785,0.29848101265822785,Hassan Haskins,2022,131,1.9588235294117649,0,2,2021,131,2021,131
0.5115681233933161,0.46041131105398453,0.5115681233933161,0.46041131105398453,0.464,Tyler Allgeier,2022,151,9.376470588235296,0,4,2021,199,2021,199
0.19114219114219114,0.17202797202797201,0.24776119402985075,0.24776119402985075,0.17202797202797201,Snoop Conner,2022,154,0.6,0,3,2021,82,2020,83
0.55,0.49500000000000005,0.55,0.49500000000000005,0.49500000000000005,Jerome Ford,2022,156,12.96470588235294,1,2,2021,220,2021,220
0.7977777777777778,0.7180000000000001,0.8646408839779005,0.8646408839779005,0.8646408839779005,Kyren Williams,2022,164,17.63529411764706,1,3,2021,359,2020,313
0.5654450261780105,0.45235602094240845,0.5654450261780105,0.45235602094240845,0.45235602094240845,Ty Chandler,2022,169,5.941176470588236,0,1,2021,216,2021,216
0.24722222222222223,0.24722222222222223,0.5389830508474577,0.5928813559322035,0.5928813559322035,Kevin Harris,2022,183,1.2529411764705882,0,3,2021,89,2020,159
0.7252747252747253,0.6527472527472528,0.9468085106382979,1.0414893617021277,1.0414893617021277,Tyler Badie,2022,196,0.6,0,4,2021,330,2019,356
0.312,0.2808,0.312,0.2808,0.2808,Keaontay Ingram,2022,201,1.0647058823529412,0,1,2021,156,2021,156
0.7780821917808219,0.6224657534246576,0.9033232628398792,0.8129909365558913,0.6935064935064935,Trestan Ebner,2022,203,0.4823529411764706,0,5,2021,284,2020,299
0.7753086419753087,0.7753086419753087,0.8526011560693642,0.9378612716763006,0.6817391304347826,Bijan Robinson,2023,8,20.1,1,3,2022,314,2021,295
1.0136986301369864,1.0136986301369864,1.0136986301369864,1.0136986301369864,1.0136986301369864,Jahmyr Gibbs,2023,12,22.96470588235294,1,1,2022,444,2022,444
0.766109785202864,0.6894988066825776,0.766109785202864,0.6894988066825776,0.5880597014925373,Zach Charbonnet,2023,52,10.805882352941175,0,2,2022,321,2022,321
0.2555066079295154,0.2555066079295154,0.3774193548387097,0.4151612903225807,0.4151612903225807,Kendre Miller,2023,71,2.547058823529412,0,3,2022,116,2021,117
0.6754617414248021,0.6079155672823219,0.6754617414248021,0.6079155672823219,0.475,Tyjae Spears,2023,81,9.047058823529412,0,4,2022,256,2022,256
0.5012787723785166,0.5012787723785166,0.7054054054054054,0.775945945945946,0.3867109634551495,De'Von Achane,2023,84,11.570588235294116,1,3,2022,196,2021,261
0.5844155844155844,0.525974025974026,0.5844155844155844,0.525974025974026,0.4043956043956044,Tank Bigsby,2023,88,7.588235294117647,0,3,2022,180,2022,180
0.3160493827160494,0.28444444444444444,0.33617021276595743,0.4034042553191489,0.4034042553191489,Roschon Johnson,2023,115,6.005882352941176,0,4,2022,128,2019,158
0.37150127226463103,0.4086513994910942,0.37150127226463103,0.4086513994910942,0.4345588235294117,Israel Abanikanda,2023,143,1.076470588235294,0,3,2022,146,2022,146
0.6106870229007634,0.4885496183206107,0.6106870229007634,0.4885496183206107,0.32989690721649484,Chase Brown,2023,163,15.0,1,3,2022,240,2022,240
0.5626535626535627,0.4501228501228502,0.5682382133995038,0.5114143920595534,0.5114143920595534,Eric Gray,2023,172,1.1352941176470588,0,2,2022,229,2021,229
1.3093525179856116,1.1784172661870504,1.3093525179856116,1.1784172661870504,0.7232876712328767,Evan Hull,2023,176,0.1,0,3,2022,546,2022,546
0.1174785100286533,0.10573065902578797,0.16666666666666666,0.16666666666666666,0.10573065902578797,Chris Rodriguez,2023,193,1.8529411764705883,0,4,2022,41,2021,61
0.3082901554404145,0.27746113989637305,0.3082901554404145,0.27746113989637305,0.27746113989637305,Zach Evans,2023,215,0.1117647058823529,0,1,2022,119,2022,119
1.024390243902439,0.8195121951219513,1.024390243902439,0.8195121951219513,0.3627450980392157,Kenny McIntosh,2023,237,1.3176470588235294,0,4,2022,504,2022,504
0.6021052631578947,0.6021052631578947,0.6021052631578947,0.6021052631578947,0.6021052631578947,Jonathon Brooks,2024,46,0.4411764705882353,0,3,2023,286,2023,286
0.5242494226327945,0.4718244803695151,0.5242494226327945,0.4718244803695151,0.36455696202531646,Trey Benson,2024,66,2.764705882352941,0,2,2023,227,2023,227
0.32409972299168976,0.2592797783933518,0.3569620253164557,0.3569620253164557,0.3769953051643193,Blake Corum,2024,83,1.9705882352941173,0,4,2023,117,2021,141
0.5032537960954447,0.4026030368763558,0.5032537960954447,0.4026030368763558,0.4026030368763558,MarShawn Lloyd,2024,88,0.1647058823529411,0,1,2023,232,2023,232
0.34306569343065696,0.34306569343065696,0.34306569343065696,0.34306569343065696,0.34306569343065696,Jaylen Wright,2024,120,1.5705882352941178,0,3,2023,141,2023,141
0.5147679324894515,0.46329113924050636,0.5147679324894515,0.46329113924050636,0.5062761506276151,Will Shipley,2024,127,1.7294117647058822,0,3,2023,244,2023,244
0.5735294117647058,0.4588235294117647,0.5735294117647058,0.4588235294117647,0.4588235294117647,Isaac Guerendo,2024,129,5.658823529411765,0,1,2023,234,2023,234
0.279317697228145,0.3072494669509595,0.31901840490797545,0.3828220858895705,0.3828220858895705,Braelon Allen,2024,134,5.011764705882353,0,3,2023,131,2022,104
0.4045584045584046,0.4045584045584046,0.4045584045584046,0.4045584045584046,0.4393491124260355,Audric Estime,2024,147,2.864705882352941,0,2,2023,142,2023,142
0.5011764705882353,0.4009411764705883,0.6965376782077393,0.6965376782077393,0.6965376782077393,Rasheen Ali,2024,165,0.1823529411764706,0,3,2023,213,2021,342
0.4407894736842105,0.3526315789473684,0.4934210526315789,0.5427631578947368,0.5427631578947368,Kimani Vidal,2024,181,1.9235294117647064,0,4,2023,201,2020,225
0.42153846153846153,0.3793846153846154,0.42153846153846153,0.3793846153846154,0.3972602739726027,Jase McClellan,2024,186,0.188235294117647,0,4,2023,137,2023,137
