player_name,draft_year,pick,round,college,age,best_ppr,best_ppg,best_season,season_rank,hit24,hit12,RAS,rec_yards,receptions,team_pass_att,cfbd_name,rec_per_pass_att,age_wt,production_raw,production_score
Myles Gaskin,2019,234,7,Washington,22.0,173.6,10.211764705882352,2021.0,26.0,0,0,5.93,77.0,21.0,405.0,myles gaskin,0.19012345679012346,1.0,0.19012345679012346,9.719929453262786
Clyde Edwards-Helaire,2020,32,1,LSU,21.0,194.4,11.43529411764706,2020.0,20.0,1,0,5.41,453.0,55.0,567.0,clyde edwards-helaire,0.798941798941799,1.1,0.878835978835979,51.82978080120938
D'Andre Swift,2020,35,2,Georgia,21.0,214.5,12.617647058823527,2024.0,16.0,1,0,7.55,216.0,24.0,415.0,d'andre swift,0.5204819277108433,1.1,0.5725301204819278,33.101365461847394
Jonathan Taylor,2020,41,2,Wisconsin,21.0,373.1,21.947058823529414,2021.0,1.0,1,1,9.53,252.0,26.0,351.0,jonathan taylor,0.717948717948718,1.1,0.7897435897435898,46.38241758241758
Cam Akers,2020,52,2,Florida St.,21.0,146.0,8.588235294117647,2020.0,34.0,0,0,8.79,225.0,30.0,432.0,cam akers,0.5208333333333334,1.1,0.5729166666666667,33.12500000000001
J.K. Dobbins,2020,55,2,Ohio St.,21.0,194.4,11.43529411764706,2024.0,22.0,1,0,,247.0,23.0,406.0,j.k. dobbins,0.6083743842364532,1.1,0.6692118226600986,39.01276096645555
AJ Dillon,2020,62,2,Boston Col.,22.0,117.6,6.91764705882353,2023.0,43.0,0,0,,195.0,13.0,305.0,aj dillon,0.639344262295082,1.0,0.639344262295082,37.186572989851676
Antonio Gibson,2020,66,3,Memphis,22.0,229.1,13.476470588235296,2021.0,13.0,1,0,,735.0,38.0,441.0,antonio gibson,1.6666666666666667,1.0,1.6666666666666667,100.0
Zack Moss,2020,86,3,Utah,22.0,169.6,9.976470588235294,2023.0,33.0,0,0,2.8,388.0,28.0,321.0,zack moss,1.2087227414330217,1.0,1.2087227414330217,71.99999999999999
Joshua Kelley,2020,112,4,UCLA,22.0,81.2,4.776470588235294,2020.0,60.0,0,0,7.59,71.0,11.0,426.0,joshua kelley,0.16666666666666666,1.0,0.16666666666666666,8.285714285714285
