player_name,position,draft_year,pick,college,rec_yards,team_pass_attempts,age,weight,forty,draft_capital_score,breakout_score,athletic_score,slap_score,tier
Eric Gray,RB,2023,172,Oklahoma,229.0,407.0,23.0,207.0,,42.9,47.7,,36.7,Below Avg
Darnell Mooney,WR,2020,173,Tulane,713.0,336.0,22.0,176.0,4.38,41.5,51.1,42.1,36.4,Below Avg
Ryan Flournoy,WR,2024,216,SE Missouri St.,839.0,365.0,24.0,202.0,4.44,40.1,45.0,55.4,36.0,Below Avg
Damien Martinez,RB,2025,223,Miami,204.0,489.0,21.0,217.0,4.51,40.2,46.0,52.8,35.7,Below Avg
Blake Corum,RB,2024,83,Michigan,117.0,361.0,23.0,205.0,4.53,52.6,37.8,39.2,35.4,Below Avg
Ollie Gordon,RB,2025,179,Oklahoma State,201.0,450.0,21.0,226.0,4.61,42.5,47.6,44.1,35.1,Below Avg
Tyrion Davis-Price,RB,2022,93,LSU,64.0,443.0,21.0,211.0,4.48,50.9,31.8,52.6,34.7,Below Avg
Erik Ezukanma,WR,2022,125,Texas Tech,705.0,388.0,22.0,209.0,,43.8,45.5,,34.4,Below Avg
Justin Shorter,WR,2023,150,Florida,577.0,366.0,23.0,229.0,4.55,42.4,37.9,60.0,34.1,Below Avg
Colton Dowell,WR,2023,228,UT Martin,1032.0,389.0,24.0,,,39.8,50.0,,33.8,Below Avg
Rasheen Ali,RB,2024,165,Marshall,213.0,425.0,23.0,206.0,,43.4,45.2,,33.4,Below Avg
Cornelius Johnson,WR,2024,253,Michigan,604.0,361.0,23.0,212.0,4.44,39.2,39.5,63.6,33.1,Below Avg
Jordan James,RB,2025,147,Oregon,209.0,460.0,21.0,205.0,4.55,44.7,48.0,36.1,32.8,Below Avg
Johnny Wilson,WR,2024,185,Florida State,617.0,433.0,23.0,231.0,4.52,41.0,35.5,66.1,32.5,Below Avg
Tre Tucker,WR,2023,100,Cincinnati,672.0,417.0,22.0,182.0,4.4,45.6,41.8,44.4,32.1,Below Avg
Jaxon Smith-Njigba,WR,2023,20,Ohio State,43.0,410.0,21.0,196.0,4.48,66.7,14.4,44.8,31.5,Below Avg
Jalen Camp,WR,2021,209,Georgia Tech,392.0,283.0,23.0,226.0,4.48,40.3,34.8,68.5,31.5,Below Avg
Jaylin Lane,WR,2025,128,Virginia Tech,466.0,339.0,23.0,191.0,4.34,43.6,34.6,61.3,31.2,Below Avg
Tahj Washington,WR,2024,241,USC,1062.0,461.0,23.0,174.0,,39.5,49.7,,30.8,Below Avg
Roschon Johnson,RB,2023,115,Texas,128.0,405.0,22.0,219.0,4.58,47.8,39.1,43.1,30.5,Below Avg
Kyren Williams,RB,2022,164,Notre Dame,359.0,450.0,22.0,194.0,4.65,43.4,61.7,13.2,30.2,Below Avg
Samori Toure,WR,2022,258,Nebraska,898.0,342.0,24.0,,,39.1,49.6,,29.9,Below Avg
Jason Huntley,RB,2020,172,New Mexico St.,192.0,446.0,22.0,,,42.9,44.5,,29.5,Below Avg
Brenden Rice,WR,2024,225,USC,791.0,461.0,22.0,208.0,4.5,39.9,43.7,51.4,29.2,Below Avg
Jamari Thrash,WR,2024,156,Louisville,858.0,408.0,23.0,188.0,4.46,42.2,46.5,41.1,28.9,Below Avg
Braelon Allen,RB,2024,134,Wisconsin,131.0,469.0,20.0,235.0,,45.8,40.3,,28.6,Below Avg
