draft_year,player_name,position,college,pick,age,rec_yards,team_pass_attempts,weight,forty,weight_source,forty_source,full_athletic_data,draft_capital_score,breakout_score,athletic_score,slap_score,position_convert,tier
2023,Tyjae Spears,RB,Tulane,81,22.0,256.0,379.0,201.0,4.47,existing,pro_day,True,53.0,56.0,45.4,69.8,False,Average
2023,De'Von Achane,RB,Texas A&M,84,21.0,196.0,391.0,188.0,4.32,existing,existing,True,52.4,50.4,58.2,70.8,False,Good
2023,Tank Bigsby,RB,Auburn,88,22.0,180.0,308.0,210.0,4.56,existing,existing,True,51.7,51.7,39.1,55.5,False,Average
2023,Michael Wilson,WR,Stanford,94,23.0,418.0,448.0,213.0,4.58,existing,existing,True,46.1,27.5,43.5,10.7,False,Below Avg
2023,Tre Tucker,WR,Cincinnati,100,22.0,672.0,417.0,182.0,4.4,existing,existing,True,45.6,41.8,44.0,30.5,False,Below Avg
2023,Roschon Johnson,RB,Texas,115,22.0,128.0,405.0,219.0,4.58,existing,existing,True,47.8,39.1,43.3,29.5,False,Below Avg
2023,Derius Davis,WR,TCU,125,22.0,531.0,454.0,165.0,4.36,existing,existing,True,43.8,33.7,34.4,8.1,False,Below Avg
2023,Charlie Jones,WR,Purdue,131,24.0,1361.0,581.0,175.0,4.43,existing,existing,True,43.4,45.6,33.7,21.1,False,Below Avg
2023,Tyler Scott,WR,Cincinnati,133,21.0,899.0,417.0,177.0,4.44,existing,existing,True,43.3,56.1,34.0,42.9,False,Below Avg
2023,Israel Abanikanda,RB,Pittsburgh,143,20.0,146.0,393.0,216.0,4.34,existing,pro_day,True,45.0,45.6,82.6,70.1,False,Below Avg
2023,Justin Shorter,WR,Florida,150,23.0,577.0,366.0,229.0,4.55,existing,existing,True,42.4,37.9,60.1,33.4,False,Below Avg
2023,Dontayvion Wicks,WR,Virginia,159,22.0,430.0,342.0,206.0,4.62,existing,existing,True,42.0,35.3,32.9,5.8,False,Below Avg
