prospect,position,prospect_college,prospect_pick,prospect_year,comp_rank,comp_player,comp_college,comp_pick,comp_year,similarity_score,comparison_coverage,dominant_category,category_breakdown,hit24,hit12,career_ppg,first_3yr_ppg,nfl_best_season_ppg
Eli Stowers,TE,Vanderbilt,0,2026,3,Terrance Ferguson,Oregon,0,2025,88.2,0.55,production,draft_capital=0.22; size_speed=0.08; production=0.79; slap_score=0.09,0.0,0.0,4.736363636363636,4.736363636363636,4.736363636363636
Eli Stowers,TE,Vanderbilt,0,2026,4,Cole Kmet,Notre Dame,0,2020,88.1,0.55,production,draft_capital=0.28; size_speed=0.29; production=0.77; slap_score=0.07,0.0,0.0,12.073333333333332,8.66470588235294,12.073333333333332
Eli Stowers,TE,Vanderbilt,0,2026,5,Jonnu Smith,Florida International,0,2017,87.0,0.55,production,draft_capital=0.50; size_speed=0.63; production=0.72; slap_score=0.11,0.0,0.0,13.076470588235296,6.98,13.076470588235296
Eli Stowers,TE,Vanderbilt,0,2026,6,Dawson Knox,Mississippi,0,2019,86.9,0.475,production,draft_capital=0.43; size_speed=0.12; production=0.76; slap_score=0.48,1.0,0.0,10.913333527247111,10.913333527247111,10.913333527247111
Eli Stowers,TE,Vanderbilt,0,2026,7,David Njoku,Miami (FL),0,2017,86.4,0.55,production,draft_capital=0.43; size_speed=0.08; production=0.80; slap_score=0.35,1.0,0.0,13.5,9.593333333333334,13.5
Eli Stowers,TE,Vanderbilt,0,2026,8,Noah Fant,Iowa,0,2019,86.3,0.55,production,draft_capital=0.52; size_speed=0.22; production=0.71; slap_score=0.45,1.0,0.0,10.664285778999329,10.664285778999329,10.664285778999329
Eli Stowers,TE,Vanderbilt,0,2026,9,Luke Schoonmaker,Michigan,0,2023,86.3,0.55,production,draft_capital=0.02; size_speed=0.21; production=0.87; slap_score=0.31,0.0,0.0,5.71,5.71,5.71
Eli Stowers,TE,Vanderbilt,0,2026,10,O.J. Howard,Alabama,0,2017,86.2,0.55,production,draft_capital=0.54; size_speed=0.16; production=0.70; slap_score=0.48,1.0,1.0,12.05,12.05,12.05
Max Klare,TE,Ohio State,0,2026,1,Nick Vannett,Ohio St.,0,2016,87.5,0.475,size_speed,draft_capital=0.31; size_speed=0.89; production=0.69; slap_score=0.16,0.0,0.0,4.926666666666667,4.926666666666667,4.926666666666667
Max Klare,TE,Ohio State,0,2026,2,Chris Herndon,Miami (FL),0,2018,86.3,0.512,production,draft_capital=0.60; size_speed=0.51; production=0.80; slap_score=0.15,0.0,0.0,8.085714285714285,8.085714285714285,8.085714285714285
Max Klare,TE,Ohio State,0,2026,3,Clive Walford,Miami (FL),0,2015,85.3,0.55,production,draft_capital=0.04; size_speed=0.09; production=0.99; slap_score=0.17,0.0,0.0,5.793333333333334,5.793333333333334,5.793333333333334
Max Klare,TE,Ohio State,0,2026,4,Devin Asiasi,UCLA,0,2020,84.3,0.55,size_speed,draft_capital=0.24; size_speed=1.10; production=0.84; slap_score=0.05,0.0,0.0,,,0.0
