player_name,position,school,draft_year,pick,round,dc_score,production_score,production_score_raw,production_metric,ras_score,slap_score,delta_vs_dc,production_status,ras_status,breakout_age,nfl_best_ppr,nfl_hit24,nfl_hit12,data_type
Cedrick Wilson Jr.,WR,Boise St.,2018,208,6,36.72342304569737,41.5929203539823,67.00408987259681,breakout_age,68.9,42.52380905049976,5.800386004802384,observed,imputed,21.0,0.0,0.0,0.0,backtest
Dylan Cantrell,WR,Texas Tech,2018,191,6,40.10518084262188,4.129793510324483,30.0,breakout_age,98.6,41.684326249769114,1.5791454071472373,observed,observed,23.0,0.0,0.0,0.0,backtest
Ray-Ray McCloud,WR,Clemson,2018,187,6,40.917284913571535,47.49262536873156,75.0,breakout_age,37.1,41.65976026756781,0.7424753539962765,observed,observed,20.0,142.5,0.0,0.0,backtest
Trey Quinn,WR,SMU,2018,256,7,27.70010003873648,42.47787610619469,67.36837188445872,breakout_age,70.1,37.015640246417654,9.315540207681174,observed,observed,21.0,22.5,0.0,0.0,backtest
Braxton Berrios,WR,Miami (FL),2018,210,6,36.332601761788666,19.174041297935105,48.98145429633979,breakout_age,56.8,35.970999404749655,-0.3616023570390112,observed,observed,22.0,121.100006,0.0,0.0,backtest
Auden Tate,WR,Florida St.,2018,253,7,28.244056507249695,63.716814159292035,82.27520486830562,breakout_age,18.2,33.831999561570704,5.587943054321009,observed,observed,20.0,101.5,0.0,0.0,backtest
Javon Wims,WR,Georgia,2018,224,7,33.6353854310527,7.669616519174041,34.11413180047745,breakout_age,54.400000000000006,31.556923834019063,-2.078461597033634,observed,observed,23.0,42.600002,0.0,0.0,backtest
Richie James,WR,Middle Tenn. St.,2018,240,7,30.630121407180937,9.734513274336283,45.0,breakout_age,59.900000000000006,30.841481569534864,0.21136016235392674,observed,observed,22.0,157.7,0.0,0.0,backtest
Marcell Ateman,WR,Oklahoma St.,2018,228,7,32.876624975929246,5.3097345132743365,31.117996826634897,breakout_age,51.8,30.20175313700888,-2.6748718389203674,observed,observed,23.0,36.4,0.0,0.0,backtest
Austin Proehl,WR,North Carolina,2018,255,7,27.881148372763306,9.734513274336283,45.0,breakout_age,36.2,25.499649097163406,-2.3814992755999,observed,observed,22.0,0.0,0.0,0.0,backtest
