player_name,college,position,height,weight,forty_yard_dash,bench_press,vertical_jump,broad_jump,three_cone,shuttle,RAS_score,rush_attempts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,total_touchdowns,games_played,team_pass_attempts,team_rec_yards,team_rec_tds,rec_yards_share,rec_td_share,dominator_rating,rec_yards_per_team_pass_att,projected_pick,slap_v5_score,dc_score,delta_vs_dc,breakout_age,peak_dominator,teammate_score,early_declare,slap_tier
Squirrel White,Florida State,WR,,170.0,,,,,,,,4.0,6.0,0.0,5.0,52.0,0.0,0.0,12.0,339.0,3041.0,20.0,1.7,0.0,0.9,0.15,250,2.4,3.9,-1.5,,0.9,0.0,1.0,Long Shot
Jaron Glover,Mississippi State,WR,,205.0,,,,,,,,,,,,192.0,2.0,2.0,13.0,378.0,2617.0,13.0,7.3,15.4,11.4,0.51,250,1.0,3.9,-2.9,,11.4,0.0,0.0,Long Shot
Justus Ross-Simmons,Syracuse,WR,,210.0,,,,,,,,,,,20.0,312.0,5.0,5.0,12.0,408.0,2607.0,17.0,12.0,29.4,20.7,0.76,250,1.6,3.9,-2.3,,20.7,0.0,0.0,Long Shot
Jayden Ballard,Wisconsin,WR,,205.0,,,,,,,,,,,7.0,150.0,2.0,2.0,12.0,272.0,1637.0,9.0,9.2,22.2,15.7,0.55,250,1.0,3.9,-2.9,,15.7,0.0,0.0,Long Shot
Christian Leary,Western Michigan,WR,,180.0,,,,,,,,10.0,46.0,0.0,15.0,115.0,0.0,0.0,14.0,305.0,1939.0,10.0,5.9,0.0,3.0,0.38,250,1.0,3.9,-2.9,,3.0,0.0,0.0,Long Shot
JoJo Earle,UNLV,WR,,185.0,,,,,,,,13.0,102.0,2.0,22.0,258.0,0.0,2.0,14.0,424.0,3512.0,24.0,7.3,0.0,3.7,0.61,250,1.0,3.9,-2.9,,3.7,0.0,0.0,Long Shot
Dacari Collins,Louisville,WR,,215.0,,,,,,,,,,,13.0,219.0,1.0,1.0,13.0,418.0,2868.0,18.0,7.6,5.6,6.6,0.52,250,1.0,3.9,-2.9,,6.6,0.0,0.0,Long Shot
Cody Jackson,Tarleton State,WR,,200.0,,,,,,,,1.0,6.0,0.0,53.0,799.0,6.0,6.0,14.0,126.0,2684.0,26.0,29.8,23.1,26.4,6.34,250,12.3,3.9,8.4,20.0,53.4,0.0,0.0,Long Shot
Kyron Ware-Hudson,Penn State,WR,,215.0,,,,,,,,,,,23.0,288.0,2.0,2.0,13.0,339.0,2439.0,16.0,11.8,12.5,12.2,0.85,250,1.0,3.9,-2.9,,12.2,0.0,0.0,Long Shot
Malik McClain,Arizona State,WR,,245.0,,,,,,,,,,,31.0,441.0,1.0,1.0,13.0,430.0,2908.0,20.0,15.2,5.0,10.1,1.03,250,1.0,3.9,-2.9,,10.1,0.0,0.0,Long Shot
Deion Colzie,Miami (OH),WR,,211.0,,,,,,,,,,,11.0,178.0,1.0,1.0,14.0,368.0,2622.0,17.0,6.8,5.9,6.3,0.48,250,1.0,3.9,-2.9,,6.3,0.0,0.0,Long Shot
Jerand Bradley,Kansas State,WR,,223.0,,,,,,,,,,,13.0,184.0,2.0,2.0,12.0,342.0,2380.0,18.0,7.7,11.1,9.4,0.54,250,1.0,3.9,-2.9,,9.4,0.0,0.0,Long Shot
Andrel Anthony,Duke,WR,,186.0,,,,,,,,,,,26.0,246.0,5.0,5.0,14.0,506.0,3995.0,34.0,6.2,14.7,10.4,0.49,250,1.0,3.9,-2.9,,10.4,0.0,0.0,Long Shot
Jayden Thomas,Virginia,WR,,220.0,,,,,,,,,,,3.0,9.0,0.0,0.0,14.0,492.0,3348.0,18.0,0.3,0.0,0.1,0.02,250,1.0,3.9,-2.9,,0.1,0.0,0.0,Long Shot
Rara Thomas,Troy,WR,,208.0,,,,,,,,6.0,39.0,0.0,39.0,629.0,5.0,5.0,14.0,433.0,2929.0,20.0,21.5,25.0,23.2,1.45,250,2.2,3.9,-1.7,23.0,23.2,0.0,0.0,Long Shot
Jared Brown,South Carolina,WR,,195.0,,,,,,,,3.0,33.0,0.0,6.0,102.0,0.0,0.0,12.0,342.0,2703.0,13.0,3.8,0.0,1.9,0.3,250,1.0,3.9,-2.9,,6.6,0.0,0.0,Long Shot
Jaden Bray,West Virginia,WR,,209.0,,,,,,,,,,,7.0,95.0,0.0,0.0,12.0,327.0,2266.0,10.0,4.2,0.0,2.1,0.29,250,1.0,3.9,-2.9,,2.1,0.0,0.0,Long Shot
Joseph Manjack IV,TCU,WR,,190.0,,,,,,,,2.0,-4.0,0.0,44.0,579.0,3.0,3.0,13.0,460.0,3771.0,30.0,15.4,10.0,12.7,1.26,250,1.0,3.9,-2.9,,12.7,0.0,0.0,Long Shot
Max Tomzcak,Youngstown State,WR,,185.0,,,,,,,,,,,,,,,13.0,,,,,,,,250,1.0,3.9,-2.9,,,0.0,0.0,Long Shot
E.J. Williams,Indiana,WR,,203.0,,,,,,,,,,,36.0,438.0,6.0,6.0,16.0,406.0,3826.0,46.0,11.4,13.0,12.2,1.08,250,1.0,3.9,-2.9,,14.2,0.0,0.0,Long Shot
Ja'Mori Maclin,Kentucky,WR,,195.0,,,,,,,,,,,13.0,189.0,0.0,0.0,12.0,367.0,2423.0,15.0,7.8,0.0,3.9,0.51,250,6.2,3.9,2.3,21.0,20.4,0.0,0.0,Long Shot
