player_id,player_display_name,position,recent_team,games,receptions,targets,receiving_yards,receiving_tds,carries,rushing_yards,rushing_tds,fantasy_points_ppr,season,fantasy_ppg
00-0038454,Keaton Mitchell,RB,BAL,12,9.0,12.0,63.0,0.0,59.0,341.0,1.0,55.400000000000006,2025,4.616666666666667
00-0038458,Owen Wright,RB,TB,1,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.6000000000000001,2025,0.6000000000000001
00-0038465,Malik Heath,WR,ATL,5,6.0,7.0,86.0,0.0,0.0,0.0,0.0,14.6,2025,2.92
00-0038488,Brady Russell,RB,SEA,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0.0
00-0038492,Jason Brownlee,WR,KC,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0.0
00-0038496,Xavier Gipson,WR,NYG,2,2.0,2.0,6.0,0.0,0.0,0.0,0.0,2.6,2025,1.3
00-0038519,Nikko Remigio,WR,KC,2,1.0,1.0,21.0,0.0,1.0,11.0,0.0,4.2,2025,2.1
00-0038542,Bijan Robinson,RB,ATL,17,79.0,103.0,820.0,4.0,288.0,1478.0,7.0,374.8,2025,22.04705882352941
00-0038543,Jaxon Smith-Njigba,WR,SEA,17,119.0,163.0,1793.0,10.0,7.0,36.0,0.0,361.90000000000003,2025,21.288235294117648
00-0038544,Quentin Johnston,WR,LAC,13,51.0,84.0,735.0,8.0,2.0,7.0,0.0,173.2,2025,13.323076923076922
00-0038551,Kendre Miller,RB,NO,7,5.0,5.0,30.0,0.0,47.0,193.0,1.0,33.3,2025,4.757142857142857
00-0038555,Tank Bigsby,RB,PHI,11,3.0,4.0,32.0,0.0,63.0,356.0,2.0,53.8,2025,4.890909090909091
00-0038559,Michael Wilson,WR,ARI,17,78.0,127.0,1006.0,7.0,0.0,0.0,0.0,220.6,2025,12.976470588235294
00-0038563,Tre Tucker,WR,LV,17,57.0,92.0,696.0,5.0,11.0,51.0,0.0,161.7,2025,9.511764705882353
00-0038573,Derius Davis,WR,LAC,5,2.0,3.0,10.0,0.0,2.0,5.0,0.0,3.5,2025,0.7
00-0038576,Charlie Jones,WR,CIN,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0.0
00-0038597,Chase Brown,RB,CIN,17,69.0,89.0,414.0,5.0,233.0,1019.0,6.0,278.3,2025,16.370588235294118
00-0038606,Parker Washington,WR,JAX,15,58.0,97.0,847.0,5.0,7.0,0.0,0.0,172.7,2025,11.513333333333332
00-0038608,Kayshon Boutte,WR,NE,14,33.0,46.0,551.0,6.0,0.0,0.0,0.0,124.1,2025,8.864285714285714
00-0038611,Chris Rodriguez Jr.,RB,WAS,12,3.0,4.0,30.0,0.0,112.0,500.0,6.0,92.0,2025,7.666666666666667
00-0038614,Scott Matlock,RB,LAC,3,4.0,4.0,12.0,1.0,0.0,0.0,0.0,11.2,2025,3.733333333333333
00-0038618,Xavier Hutchinson,WR,HOU,16,35.0,57.0,428.0,3.0,3.0,22.0,0.0,98.0,2025,6.125
00-0038619,Andrei Iosivas,WR,CIN,15,33.0,58.0,435.0,2.0,3.0,14.0,0.0,89.9,2025,5.993333333333334
